Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalToPetalRatio
044,5.0,3.5,1.6,0.6,Iris-setosa,3.12
045,5.1,3.8,1.9,0.4,Iris-setosa,2.68
046,4.8,3.0,1.4,0.3,Iris-setosa,3.43
047,5.1,3.8,1.6,0.2,Iris-setosa,3.19
048,4.6,3.2,1.4,0.2,Iris-setosa,3.29
049,5.3,3.7,1.5,0.2,Iris-setosa,3.53
050,5.0,3.3,1.4,0.2,Iris-setosa,3.57
051,7.0,3.2,4.7,1.4,Iris-versicolor,1.49
052,6.4,3.2,4.5,1.5,Iris-versicolor,1.42
053,6.9,3.1,4.9,1.5,Iris-versicolor,1.41
054,5.5,2.3,4.0,1.3,Iris-versicolor,1.38
055,6.5,2.8,4.6,1.5,Iris-versicolor,1.41
056,5.7,2.8,4.5,1.3,Iris-versicolor,1.27
057,6.3,3.3,4.7,1.6,Iris-versicolor,1.34
058,4.9,2.4,3.3,1.0,Iris-versicolor,1.48
059,6.6,2.9,4.6,1.3,Iris-versicolor,1.43
060,5.2,2.7,3.9,1.4,Iris-versicolor,1.33
061,5.0,2.0,3.5,1.0,Iris-versicolor,1.43
062,5.9,3.0,4.2,1.5,Iris-versicolor,1.4
063,6.0,2.2,4.0,1.0,Iris-versicolor,1.5
064,6.1,2.9,4.7,1.4,Iris-versicolor,1.3
065,5.6,2.9,3.6,1.3,Iris-versicolor,1.56
066,6.7,3.1,4.4,1.4,Iris-versicolor,1.52
067,5.6,3.0,4.5,1.5,Iris-versicolor,1.24
068,5.8,2.7,4.1,1.0,Iris-versicolor,1.41
069,6.2,2.2,4.5,1.5,Iris-versicolor,1.38
070,5.6,2.5,3.9,1.1,Iris-versicolor,1.44
071,5.9,3.2,4.8,1.8,Iris-versicolor,1.23
072,6.1,2.8,4.0,1.3,Iris-versicolor,1.52
073,6.3,2.5,4.9,1.5,Iris-versicolor,1.29
074,6.1,2.8,4.7,1.2,Iris-versicolor,1.3
075,6.4,2.9,4.3,1.3,Iris-versicolor,1.49
076,6.6,3.0,4.4,1.4,Iris-versicolor,1.5
077,6.8,2.8,4.8,1.4,Iris-versicolor,1.42
078,6.7,3.0,5.0,1.7,Iris-versicolor,1.34
079,6.0,2.9,4.5,1.5,Iris-versicolor,1.33
080,5.7,2.6,3.5,1.0,Iris-versicolor,1.63
081,5.5,2.4,3.8,1.1,Iris-versicolor,1.45
082,5.5,2.4,3.7,1.0,Iris-versicolor,1.49
083,5.8,2.7,3.9,1.2,Iris-versicolor,1.49
084,6.0,2.7,5.1,1.6,Iris-versicolor,1.18
085,5.4,3.0,4.5,1.5,Iris-versicolor,1.2
086,6.0,3.4,4.5,1.6,Iris-versicolor,1.33
087,6.7,3.1,4.7,1.5,Iris-versicolor,1.43
088,6.3,2.3,4.4,1.3,Iris-versicolor,1.43
089,5.6,3.0,4.1,1.3,Iris-versicolor,1.37
090,5.5,2.5,4.0,1.3,Iris-versicolor,1.38
091,5.5,2.6,4.4,1.2,Iris-versicolor,1.25
092,6.1,3.0,4.6,1.4,Iris-versicolor,1.33
093,5.8,2.6,4.0,1.2,Iris-versicolor,1.45
094,5.0,2.3,3.3,1.0,Iris-versicolor,1.52
095,5.6,2.7,4.2,1.3,Iris-versicolor,1.33
096,5.7,3.0,4.2,1.2,Iris-versicolor,1.36
097,5.7,2.9,4.2,1.3,Iris-versicolor,1.36
098,6.2,2.9,4.3,1.3,Iris-versicolor,1.44
099,5.1,2.5,3.0,1.1,Iris-versicolor,1.7
100,5.7,2.8,4.1,1.3,Iris-versicolor,1.39
101,6.3,3.3,6.0,2.5,Iris-virginica,1.05
102,5.8,2.7,5.1,1.9,Iris-virginica,1.14
103,7.1,3.0,5.9,2.1,Iris-virginica,1.2
104,6.3,2.9,5.6,1.8,Iris-virginica,1.12
105,6.5,3.0,5.8,2.2,Iris-virginica,1.12
106,7.6,3.0,6.6,2.1,Iris-virginica,1.15
107,4.9,2.5,4.5,1.7,Iris-virginica,1.09
108,7.3,2.9,6.3,1.8,Iris-virginica,1.16
109,6.7,2.5,5.8,1.8,Iris-virginica,1.16
110,7.2,3.6,6.1,2.5,Iris-virginica,1.18
111,6.5,3.2,5.1,2.0,Iris-virginica,1.27
112,6.4,2.7,5.3,1.9,Iris-virginica,1.21
113,6.8,3.0,5.5,2.1,Iris-virginica,1.24
114,5.7,2.5,5.0,2.0,Iris-virginica,1.14
115,5.8,2.8,5.1,2.4,Iris-virginica,1.14
116,6.4,3.2,5.3,2.3,Iris-virginica,1.21
117,6.5,3.0,5.5,1.8,Iris-virginica,1.18
118,7.7,3.8,6.7,2.2,Iris-virginica,1.15
119,7.7,2.6,6.9,2.3,Iris-virginica,1.12
120,6.0,2.2,5.0,1.5,Iris-virginica,1.2
121,6.9,3.2,5.7,2.3,Iris-virginica,1.21
122,5.6,2.8,4.9,2.0,Iris-virginica,1.14
123,7.7,2.8,6.7,2.0,Iris-virginica,1.15
124,6.3,2.7,4.9,1.8,Iris-virginica,1.29
125,6.7,3.3,5.7,2.1,Iris-virginica,1.18
126,7.2,3.2,6.0,1.8,Iris-virginica,1.2
127,6.2,2.8,4.8,1.8,Iris-virginica,1.29
128,6.1,3.0,4.9,1.8,Iris-virginica,1.24
129,6.4,2.8,5.6,2.1,Iris-virginica,1.14
130,7.2,3.0,5.8,1.6,Iris-virginica,1.24
131,7.4,2.8,6.1,1.9,Iris-virginica,1.21
132,7.9,3.8,6.4,2.0,Iris-virginica,1.23
133,6.4,2.8,5.6,2.2,Iris-virginica,1.14
134,6.3,2.8,5.1,1.5,Iris-virginica,1.24
135,6.1,2.6,5.6,1.4,Iris-virginica,1.09
136,7.7,3.0,6.1,2.3,Iris-virginica,1.26
137,6.3,3.4,5.6,2.4,Iris-virginica,1.12
138,6.4,3.1,5.5,1.8,Iris-virginica,1.16
139,6.0,3.0,4.8,1.8,Iris-virginica,1.25
140,6.9,3.1,5.4,2.1,Iris-virginica,1.28
141,6.7,3.1,5.6,2.4,Iris-virginica,1.2
142,6.9,3.1,5.1,2.3,Iris-virginica,1.35
143,5.8,2.7,5.1,1.9,Iris-virginica,1.14
144,6.8,3.2,5.9,2.3,Iris-virginica,1.15
145,6.7,3.3,5.7,2.5,Iris-virginica,1.18
146,6.7,3.0,5.2,2.3,Iris-virginica,1.29
147,6.3,2.5,5.0,1.9,Iris-virginica,1.26
148,6.5,3.0,5.2,2.0,Iris-virginica,1.25
149,6.2,3.4,5.4,2.3,Iris-virginica,1.15
150,5.9,3.0,5.1,1.8,Iris-virginica,1.16
